place,name,sort,rating,reviews
언양불고기한마당한우촌,언양불고기한마당한우촌,"육류,고기요리",4.53/5,"['방문자리뷰 88, /restaurant/11709672/review/visitor', '블로그리뷰 732, /restaurant/11709672/review/ugc']"
헤이메르,헤이메르,카페,4.39/5,"['방문자리뷰 798, /restaurant/1872451543/review/visitor', '블로그리뷰 989, /restaurant/1872451543/review/ugc']"
테이블세터,테이블세터,"카페,디저트",4.31/5,"['방문자리뷰 235, /restaurant/1985386924/review/visitor', '블로그리뷰 280, /restaurant/1985386924/review/ugc']"
카페 수피아,카페 수피아,"카페,디저트",4.43/5,"['방문자리뷰 436, /restaurant/1821299828/review/visitor', '블로그리뷰 297, /restaurant/1821299828/review/ugc']"
어글리스토브 울산더테라스가든점,어글리스토브 울산더테라스가든점,브런치,4.29/5,"['방문자리뷰 504, /restaurant/1123797865/review/visitor', '블로그리뷰 358, /restaurant/1123797865/review/ugc']"
인얼스커피 울산동구점,인얼스커피 울산동구점,"카페,디저트",4.36/5,"['방문자리뷰 282, /restaurant/1754005373/review/visitor', '블로그리뷰 235, /restaurant/1754005373/review/ugc']"
빈티큐,빈티큐,카페,4.29/5,"['방문자리뷰 31, /restaurant/38590822/review/visitor', '블로그리뷰 506, /restaurant/38590822/review/ugc']"
앙뚜케이크,앙뚜케이크,베이커리,4.6/5,"['방문자리뷰 21, /restaurant/32407519/review/visitor', '블로그리뷰 206, /restaurant/32407519/review/ugc']"
롯데시네마 울산,롯데시네마 울산,영화관,4.46/5,"['방문자리뷰 633, /place/12137075/review/visitor', '블로그리뷰 270, /place/12137075/review/ugc']"
INGG CINEPARK,INGG CINEPARK,영화관,0,"['블로그리뷰 2, /place/1613182793/review/ugc']"
태화강국가정원,태화강국가정원,"도시,테마공원",4.32/5,"['방문자리뷰 87, /place/16545633/review/visitor', '블로그리뷰 2764, /place/16545633/review/ugc']"
선암호수공원,선암호수공원,"자연,생태공원",4.14/5,"['방문자리뷰 39, /place/12310977/review/visitor', '블로그리뷰 834, /place/12310977/review/ugc']"
대왕암공원,대왕암공원,"도시,테마공원",4.36/5,"['방문자리뷰 375, /place/12079981/review/visitor', '블로그리뷰 3023, /place/12079981/review/ugc']"
울산대공원,울산대공원,"도시,테마공원",4.4/5,"['방문자리뷰 422, /place/11555761/review/visitor', '블로그리뷰 1348, /place/11555761/review/ugc']"
학성공원,학성공원,"도시,테마공원",5/5,"['방문자리뷰 4, /place/19699960/review/visitor', '블로그리뷰 162, /place/19699960/review/ugc']"
울산애견공원,울산애견공원,반려견놀이터,4.6/5,"['방문자리뷰 5, /place/21553526/review/visitor', '블로그리뷰 110, /place/21553526/review/ugc']"
태화강국가정원십리대숲,태화강국가정원십리대숲,부속시설,4.42/5,"['방문자리뷰 20, /place/20771500/review/visitor', '블로그리뷰 1132, /place/20771500/review/ugc']"
송정박상진호수공원,송정박상진호수공원,근린공원,0,"['방문자리뷰 2, /place/32497054/review/visitor', '블로그리뷰 209, /place/32497054/review/ugc']"
태화강국가정원은하수정원,태화강국가정원은하수정원,부속시설,0,"['방문자리뷰 1, /place/1183373858/review/visitor', '블로그리뷰 275, /place/1183373858/review/ugc']"
공룡발자국공원,공룡발자국공원,테마공원,4.25/5,"['방문자리뷰 4, /place/1877730534/review/visitor', '블로그리뷰 193, /place/1877730534/review/ugc']"
포니랜드,포니랜드,승마장,4.33/5,"['방문자리뷰 75, /place/38337516/review/visitor', '블로그리뷰 107, /place/38337516/review/ugc']"
울주해양레포츠센터,울주해양레포츠센터,"수상,해양레저",4.56/5,"['방문자리뷰 55, /place/1521566135/review/visitor', '블로그리뷰 126, /place/1521566135/review/ugc']"
라온클라이밍짐,라온클라이밍짐,암벽등반,0,"['방문자리뷰 1, /place/1171982338/review/visitor', '블로그리뷰 19, /place/1171982338/review/ugc']"
요트탈래,요트탈래,요트,4.72/5,"['방문자리뷰 1,028, /place/38556767/review/visitor', '블로그리뷰 195, /place/38556767/review/ugc']"
휘폴수영장,휘폴수영장,수영장,4.89/5,"['방문자리뷰 9, /place/13507739/review/visitor', '블로그리뷰 14, /place/13507739/review/ugc']"
울산바다낚시터,울산바다낚시터,낚시터,0,"['방문자리뷰 2, /place/1795118405/review/visitor', '블로그리뷰 2, /place/1795118405/review/ugc']"
신신낚시 무거점,신신낚시 무거점,낚시,4.5/5,"['방문자리뷰 3, /place/21054953/review/visitor', '블로그리뷰 2, /place/21054953/review/ugc']"
송정바다낚시터,송정바다낚시터,낚시터,0,"['방문자리뷰 2, /place/34581900/review/visitor', '블로그리뷰 7, /place/34581900/review/ugc']"
해적 바다실내낚시터,해적 바다실내낚시터,낚시터,0,"['방문자리뷰 1, /place/1265928729/review/visitor', '블로그리뷰 43, /place/1265928729/review/ugc']"
서프홀릭 울산점,서프홀릭 울산점,"서핑,윈드서핑",4.93/5,"['방문자리뷰 102, /place/1564014880/review/visitor', '블로그리뷰 97, /place/1564014880/review/ugc']"
호텔현대 바이 라한 울산,호텔현대 바이 라한 울산,호텔,4.49/5,"['방문자리뷰 150, /place/11484735/review/visitor', '블로그리뷰 382, /place/11484735/review/ugc']"
롯데호텔 울산,롯데호텔 울산,호텔,4.43/5,"['방문자리뷰 67, /place/12829459/review/visitor', '블로그리뷰 539, /place/12829459/review/ugc']"
샌디아온천,샌디아온천,펜션,4.25/5,"['방문자리뷰 154, /accommodation/38547797/review/visitor', '블로그리뷰 64, /accommodation/38547797/review/ugc']"
캠핑월드,충주호캠핑월드,"캠핑,야영장",4.67/5,"['방문자리뷰 312, /accommodation/32473489/review/visitor', '블로그리뷰 421, /accommodation/32473489/review/ugc']"
롯데시티호텔 울산,롯데시티호텔 울산,호텔,4.56/5,"['방문자리뷰 109, /place/33861054/review/visitor', '블로그리뷰 373, /place/33861054/review/ugc']"
작천정별빛야영장,작천정별빛야영장,"캠핑,야영장",4.42/5,"['방문자리뷰 40, /accommodation/35832287/review/visitor', '블로그리뷰 335, /accommodation/35832287/review/ugc']"
신라스테이 울산,신라스테이 울산,호텔,4.3/5,"['방문자리뷰 148, /place/33861055/review/visitor', '블로그리뷰 450, /place/33861055/review/ugc']"
스타즈호텔 울산,스타즈호텔 울산,호텔,4.38/5,"['방문자리뷰 125, /accommodation/1945804959/review/visitor', '블로그리뷰 196, /accommodation/1945804959/review/ugc']"
들살이오토캠핑장,들살이오토캠핑장,"캠핑,야영장",4.79/5,"['방문자리뷰 14, /accommodation/21834479/review/visitor', '블로그리뷰 91, /accommodation/21834479/review/ugc']"
롯데마트 울산점,롯데마트 울산점,"슈퍼,마트",4.38/5,"['방문자리뷰 8,265, /place/11625330/review/visitor', '블로그리뷰 273, /place/11625330/review/ugc']"
코스트코코리아 울산점,코스트코코리아 울산점,"슈퍼,마트",4.46/5,"['방문자리뷰 11,391, /place/31032878/review/visitor', '블로그리뷰 1142, /place/31032878/review/ugc']"
홈플러스 울산점,홈플러스 울산점,"슈퍼,마트",4.42/5,"['방문자리뷰 8,537, /place/11656530/review/visitor', '블로그리뷰 611, /place/11656530/review/ugc']"
이마트 울산점,이마트 울산점,"슈퍼,마트",4.44/5,"['방문자리뷰 7,244, /place/11605030/review/visitor', '블로그리뷰 300, /place/11605030/review/ugc']"
롯데마트 진장점,롯데마트 진장점,"슈퍼,마트",4.41/5,"['방문자리뷰 4,924, /place/11815280/review/visitor', '블로그리뷰 360, /place/11815280/review/ugc']"
홈플러스 울산남구점,홈플러스 울산남구점,"슈퍼,마트",4.45/5,"['방문자리뷰 7,818, /place/11656536/review/visitor', '블로그리뷰 208, /place/11656536/review/ugc']"
메가마트신선도원몰,메가마트신선도원몰,"슈퍼,마트",4.48/5,"['방문자리뷰 4,293, /place/11656638/review/visitor', '블로그리뷰 434, /place/11656638/review/ugc']"
세이브존 울산점,세이브존 울산점,"슈퍼,마트",4.36/5,"['방문자리뷰 3,025, /place/11583078/review/visitor', '블로그리뷰 495, /place/11583078/review/ugc', '아울렛윈도, https://shopping.naver.com/outlet/branch/10011006']"
홈플러스 울산동구점,홈플러스 울산동구점,"슈퍼,마트",4.36/5,"['방문자리뷰 6,233, /place/13440362/review/visitor', '블로그리뷰 143, /place/13440362/review/ugc']"
홈플러스 울산북구점,홈플러스 울산북구점,"슈퍼,마트",4.46/5,"['방문자리뷰 3,513, /place/11656659/review/visitor', '블로그리뷰 102, /place/11656659/review/ugc']"
